Column 1,Column 2,Quality,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
,Cox’s Orange-group,Ave,£/kg,0.71,0.75,0.80,0.84,0.86,,,,0.98,0.88,0.77,0.87
,Discovery,1st,£/kg,,,,,,,,0.91,0.67,,,
,Discovery,2nd,£/kg,,,,,,,,0.67,0.55,,,
,Discovery,Ave,£/kg,,,,,,,,0.90,0.66,,,
,Egremont Russet,1st,£/kg,0.75,0.88,0.97,,,,,,0.95,0.87,0.85,0.89
,Egremont Russet,2nd,£/kg,0.49,,,,,,,,,0.61,0.44,0.66
,Egremont Russet,Ave,£/kg,0.71,0.88,0.97,,,,,,0.95,0.87,0.84,0.88
,Spartan,1st,£/kg,,,,,,,,,,1.06,0.86,
,Spartan,2nd,£/kg,0.40,,,,,,,,,0.51,,
,Spartan,Ave,£/kg,0.40,,,,,,,,,0.79,0.86,
,Worcester Pearmain,1st,£/kg,,,,,,,,0.66,0.78,0.65,,
,Worcester Pearmain,2nd,£/kg,,,,,,,,,0.66,,,
,Worcester Pearmain,Ave,£/kg,,,,,,,,0.66,0.78,0.65,,
,Red Pippin,1st,£/kg,,,,,,,,,,0.61,0.69,
,Red Pippin,2nd,£/kg,,,,,,,,,,0.83,,
,Red Pippin,Ave,£/kg,,,,,,,,,,0.70,0.69,
,Gala,1st,£/kg,0.69,0.68,0.73,0.81,0.74,,,,0.79,0.83,0.76,0.81
,Gala,2nd,£/kg,0.40,0.53,0.60,0.66,,,,,,0.64,0.42,0.49
,Gala,Ave,£/kg,0.68,0.68,0.73,0.81,0.74,,,,0.79,0.81,0.72,0.79
,Other Early Season,-,£/kg,,,,0.93,,,,,0.73,0.81,0.82,
